14:02:36.494 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14:02:36.691 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 175 ms. Found 2 JPA repository interfaces.
14:02:44.668 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
14:02:44.707 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
14:02:44.736 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
14:02:44.738 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.17]
14:02:44.993 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:02:45.005 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 15802 ms
14:02:47.027 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
14:02:47.272 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
14:02:47.384 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
14:02:48.209 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
14:02:53.958 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
14:02:56.064 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
14:03:05.607 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
14:03:17.086 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
14:03:17.800 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
14:03:19.299 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
14:03:19.429 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
14:03:19.592 [restartedMain] INFO  c.d.c.CurriculumServiceApplication - Started CurriculumServiceApplication in 53.02 seconds (process running for 56.449)
14:07:21.725 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
14:07:21.727 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:07:21.738 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
14:07:23.109 [http-nio-8080-exec-2] INFO  c.d.c.a.TopicLoggingInterceptionAspect - Topic with id: 1 requested
14:07:31.318 [http-nio-8080-exec-2] INFO  c.d.c.a.TopicLoggingInterceptionAspect - Topic found and returned with status code 200 OK
14:07:31.457 [http-nio-8080-exec-2] INFO  c.d.c.a.TopicLoggingInterceptionAspect - TopicDao returned: TopicDao(id=1, name=pointer, description=Memory Management Effiectly)
14:09:54.399 [http-nio-8080-exec-4] INFO  c.d.c.a.TopicLoggingInterceptionAspect - Course with id: 1 requested for topic with id: 1
14:09:55.566 [http-nio-8080-exec-4] INFO  c.d.c.a.TopicLoggingInterceptionAspect - Course found and returned with status code 200 OK
14:09:55.566 [http-nio-8080-exec-4] INFO  c.d.c.a.TopicLoggingInterceptionAspect - CourseDao returned: CourseDao(id=1, name=Imperative, description=pointer,struct,recursion,files,linked list, topic=TopicDao(id=1, name=pointer, description=Memory Management Effiectly))
14:11:47.740 [http-nio-8080-exec-6] ERROR c.d.c.e.GlobalExceptionHandler - Validation errors: [name: Name cannot be blank]
14:11:48.373 [http-nio-8080-exec-6] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.devesta.curricula.domain.dto.TopicDto> com.devesta.curricula.controllers.TopicController.addTopic(com.devesta.curricula.domain.dto.TopicDto): [Field error in object 'topicDto' on field 'name': rejected value []; codes [NotBlank.topicDto.name,NotBlank.name,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [topicDto.name,name]; arguments []; default message [name]]; default message [Name cannot be blank]] ]
14:13:35.461 [http-nio-8080-exec-9] INFO  c.d.c.a.TopicLoggingInterceptionAspect - Adding new course: CourseDao(id=1, name=Imperative, description=pointer,struct,recursion,files,linked list, topic=TopicDao(id=1, name=pointer, description=Memory Management Effiectly)) for topic with id: 1
14:13:36.182 [http-nio-8080-exec-9] INFO  c.d.c.a.TopicLoggingInterceptionAspect - New course added successfully with status code 201 CREATED
14:13:36.183 [http-nio-8080-exec-9] INFO  c.d.c.a.TopicLoggingInterceptionAspect - CourseDao returned: CourseDao(id=1, name=Imperative, description=pointer,struct,recursion,files,linked list, topic=TopicDao(id=1, name=pointer, description=Memory Management Effiectly))
14:14:07.105 [http-nio-8080-exec-1] INFO  c.d.c.a.TopicLoggingInterceptionAspect - Adding new course: CourseDao(id=1, name=Imperative, description=pointer,struct,recursion,files,linked list, topic=TopicDao(id=1, name=pointer, description=Memory Management Effiectly)) for topic with id: 1
14:14:07.263 [http-nio-8080-exec-1] INFO  c.d.c.a.TopicLoggingInterceptionAspect - New course added successfully with status code 201 CREATED
14:14:07.263 [http-nio-8080-exec-1] INFO  c.d.c.a.TopicLoggingInterceptionAspect - CourseDao returned: CourseDao(id=1, name=Imperative, description=pointer,struct,recursion,files,linked list, topic=TopicDao(id=1, name=pointer, description=Memory Management Effiectly))
14:14:09.743 [http-nio-8080-exec-2] INFO  c.d.c.a.TopicLoggingInterceptionAspect - Adding new course: CourseDao(id=1, name=Imperative, description=pointer,struct,recursion,files,linked list, topic=TopicDao(id=1, name=pointer, description=Memory Management Effiectly)) for topic with id: 1
14:14:09.962 [http-nio-8080-exec-2] INFO  c.d.c.a.TopicLoggingInterceptionAspect - New course added successfully with status code 201 CREATED
14:14:09.962 [http-nio-8080-exec-2] INFO  c.d.c.a.TopicLoggingInterceptionAspect - CourseDao returned: CourseDao(id=1, name=Imperative, description=pointer,struct,recursion,files,linked list, topic=TopicDao(id=1, name=pointer, description=Memory Management Effiectly))
14:26:52.267 [http-nio-8080-exec-4] ERROR c.d.c.e.GlobalExceptionHandler - Validation errors: [name: Name cannot be blank]
14:26:52.331 [http-nio-8080-exec-4] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [0] in public org.springframework.http.ResponseEntity<com.devesta.curricula.domain.dto.CourseDto> com.devesta.curricula.controllers.CourseController.addCourse(com.devesta.curricula.domain.dto.CourseDto,java.lang.Long): [Field error in object 'courseDto' on field 'name': rejected value []; codes [NotBlank.courseDto.name,NotBlank.name,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [courseDto.name,name]; arguments []; default message [name]]; default message [Name cannot be blank]] ]
14:27:20.601 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
14:28:43.318 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
14:28:43.658 [restartedMain] INFO  c.d.c.CurriculumServiceApplication - Starting CurriculumServiceApplication using Java 20.0.2 with PID 6572 (C:\Users\dkmods\Intellji-Workspace\demo\target\classes started by dkmods in C:\Users\dkmods\Intellji-Workspace\demo)
14:28:43.686 [restartedMain] INFO  c.d.c.CurriculumServiceApplication - The following 2 profiles are active: "dev", "admin"
14:28:44.175 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
14:28:44.178 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
14:28:52.598 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14:28:52.901 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 271 ms. Found 2 JPA repository interfaces.
14:29:07.765 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
14:29:08.362 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
14:29:08.392 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
14:29:08.393 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.17]
14:29:10.742 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:29:10.745 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 26562 ms
14:29:18.070 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
14:29:19.481 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
14:29:20.306 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
14:29:24.290 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
14:29:50.941 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
14:30:01.214 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
14:30:11.564 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
14:30:25.793 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
14:30:25.876 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
14:30:26.956 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
14:30:27.591 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
14:30:27.699 [restartedMain] INFO  c.d.c.CurriculumServiceApplication - Started CurriculumServiceApplication in 106.941 seconds (process running for 113.714)
15:12:20.020 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.devesta.curricula.controllers.CourseControllerIntegrationTests]: CourseControllerIntegrationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
15:12:22.111 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.devesta.curricula.CurriculumServiceApplication for test class com.devesta.curricula.controllers.CourseControllerIntegrationTests
15:12:24.509 [main] INFO  o.s.b.d.r.RestartApplicationListener - Restart disabled due to context in which it is running
15:12:26.693 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
15:12:27.358 [main] INFO  c.d.c.c.CourseControllerIntegrationTests - Starting CourseControllerIntegrationTests using Java 20.0.2 with PID 14300 (started by dkmods in C:\Users\dkmods\Intellji-Workspace\demo)
